raw_row_number,date,time,location,county_name,subject_age,subject_race,subject_sex,officer_id_hash,department_name,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_frisk,reason_for_search,reason_for_stop,raw_Ethnicity,raw_Race,raw_action_description
19180646,2015-03-21,16:52:00,"nan, Durham County",Durham County,36,hispanic,male,d6c9e4267f,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Investigation,H,W,Written Warning
19180647,2015-03-21,17:15:00,"nan, Durham County",Durham County,33,hispanic,male,d6c9e4267f,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,H,W,Citation Issued
19180648,2015-03-21,18:15:00,"nan, Durham County",Durham County,26,hispanic,female,3f32c9743a,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,H,W,Citation Issued
19180649,2015-03-21,21:45:00,"nan, Durham County",Durham County,26,black,female,77570918b0,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Citation Issued
19180650,2015-03-21,17:30:00,"nan, Durham County",Durham County,30,black,female,9914d15a92,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,N,B,Verbal Warning
19180655,2015-03-21,17:13:00,"nan, Durham County",Durham County,28,white,male,89c8065714,Durham Police Department,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,N,W,No Action Taken
19180656,2015-03-21,22:42:00,"nan, Durham County",Durham County,39,black,male,e9dcbbe80e,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation,N,B,Written Warning
19180657,2015-03-21,17:30:00,"nan, Durham County",Durham County,35,hispanic,male,c0fa214e8f,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,H,W,Citation Issued
19180658,2015-03-21,23:07:00,"nan, Durham County",Durham County,33,black,male,f01194d5af,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,B,Verbal Warning
19180659,2015-03-21,17:06:00,"nan, Durham County",Durham County,30,white,female,f6e97b759c,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,N,W,Written Warning
19180660,2015-03-21,17:31:00,"nan, Durham County",Durham County,46,black,male,f6e97b759c,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,N,B,Citation Issued
19180661,2015-03-21,19:47:00,"nan, Durham County",Durham County,31,black,female,f6e97b759c,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Written Warning
19180687,2015-03-21,11:51:00,"nan, Durham County",Durham County,28,black,male,1a621ba300,Durham Police Department,vehicular,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,consent,NA,Erratic/Suspicious Behavior|Suspicious Movement|Informant Tip,Investigation,N,B,No Action Taken
19180706,2015-03-21,21:27:00,"nan, Durham County",Durham County,38,black,male,5a6f9ebaec,Durham Police Department,vehicular,TRUE,FALSE,FALSE,arrest,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,other,NA,Erratic/Suspicious Behavior,Vehicle Equipment Violation,N,B,On-View Arrest
19180801,2015-03-21,17:56:00,"nan, Durham County",Durham County,21,black,female,ad3824331d,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,probable cause,NA,Witness Observation,Vehicle Regulatory Violation,N,B,Citation Issued
19180802,2015-03-21,17:41:00,"nan, Durham County",Durham County,25,black,male,9914d15a92,Durham Police Department,vehicular,TRUE,FALSE,FALSE,arrest,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,probable cause,NA,Erratic/Suspicious Behavior|Observation of Suspected Contraband|Suspicious Movement,Checkpoint,N,B,On-View Arrest
19179091,2015-03-22,04:35:00,"nan, Durham County",Durham County,22,black,female,980906ef3f,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,B,Verbal Warning
19179092,2015-03-22,08:00:00,"nan, Durham County",Durham County,50,black,female,e009fea02e,Durham Police Department,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Investigation,N,B,No Action Taken
19179093,2015-03-22,08:50:00,"nan, Durham County",Durham County,61,white,male,23cac1dfad,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,W,Citation Issued
19179094,2015-03-22,12:18:00,"nan, Durham County",Durham County,54,black,female,db1a7b0270,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,N,B,Citation Issued
19179095,2015-03-22,12:36:00,"nan, Durham County",Durham County,29,white,male,db1a7b0270,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,N,W,Citation Issued
19179096,2015-03-22,12:33:00,"nan, Durham County",Durham County,38,white,male,baee7be571,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,N,W,Citation Issued
19179097,2015-03-22,12:39:00,"nan, Durham County",Durham County,37,white,female,90fa84c920,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,N,W,Citation Issued
19179098,2015-03-22,15:35:00,"nan, Durham County",Durham County,29,black,male,baee7be571,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Verbal Warning
19179099,2015-03-22,15:41:00,"nan, Durham County",Durham County,30,black,female,90fa84c920,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Citation Issued
19179100,2015-03-22,15:15:00,"nan, Durham County",Durham County,34,black,female,daf35504c8,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Citation Issued
19179101,2015-03-22,17:25:00,"nan, Durham County",Durham County,49,black,female,d102c589ba,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Stop Light/Sign Violation,N,B,Citation Issued
19179113,2015-03-22,01:48:00,"nan, Durham County",Durham County,40,black,female,66dc724e02,Durham Police Department,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,B,No Action Taken
19180767,2015-03-22,14:00:00,"nan, Durham County",Durham County,24,black,male,23cac1dfad,Durham Police Department,vehicular,TRUE,FALSE,FALSE,arrest,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,consent,NA,Erratic/Suspicious Behavior,Investigation,N,B,On-View Arrest
19179102,2015-03-23,07:09:00,"nan, Durham County",Durham County,21,white,female,1dadfae83d,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,W,Citation Issued
19179103,2015-03-23,07:30:00,"nan, Durham County",Durham County,49,white,male,7b538b65e2,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,W,Citation Issued
19179104,2015-03-23,07:27:00,"nan, Durham County",Durham County,58,white,male,a2fb17314f,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,W,Verbal Warning
19179105,2015-03-23,08:58:00,"nan, Durham County",Durham County,40,black,male,07ca9fd59e,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,B,Verbal Warning
19179106,2015-03-23,08:42:00,"nan, Durham County",Durham County,27,black,female,7b538b65e2,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Citation Issued
19179108,2015-03-23,09:15:00,"nan, Durham County",Durham County,26,black,female,987d525be1,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Citation Issued
19179110,2015-03-23,10:30:00,"nan, Durham County",Durham County,22,black,male,3f32c9743a,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Investigation,N,B,Verbal Warning
19179111,2015-03-23,10:30:00,"nan, Durham County",Durham County,41,white,female,43406b8355,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,W,Citation Issued
19179112,2015-03-23,10:45:00,"nan, Durham County",Durham County,45,black,male,a38f3216c6,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,B,Verbal Warning
19179114,2015-03-23,11:30:00,"nan, Durham County",Durham County,30,black,female,0ae5382cc9,Durham Police Department,vehicular,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Investigation,N,B,No Action Taken
19179115,2015-03-23,11:38:00,"nan, Durham County",Durham County,51,white,female,7b538b65e2,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,W,Verbal Warning
19179116,2015-03-23,11:15:00,"nan, Durham County",Durham County,32,black,female,29cac8da9f,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Stop Light/Sign Violation,N,B,Citation Issued
19179117,2015-03-23,13:03:00,"nan, Durham County",Durham County,67,black,male,f6b9c2fe4d,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Verbal Warning
19179119,2015-03-23,14:20:00,"nan, Durham County",Durham County,39,black,male,3f32c9743a,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,B,Written Warning
19179120,2015-03-23,14:50:00,"nan, Durham County",Durham County,51,black,male,29cac8da9f,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Stop Light/Sign Violation,N,B,Citation Issued
19179121,2015-03-23,14:57:00,"nan, Durham County",Durham County,49,white,female,1dadfae83d,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,W,Citation Issued
19179122,2015-03-23,15:45:00,"nan, Durham County",Durham County,20,black,male,29cac8da9f,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Investigation,N,B,Verbal Warning
19179123,2015-03-23,13:45:00,"nan, Durham County",Durham County,17,black,male,07ca9fd59e,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,B,Citation Issued
19179124,2015-03-23,16:00:00,"nan, Durham County",Durham County,25,black,male,3f32c9743a,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,B,Verbal Warning
19179125,2015-03-23,16:30:00,"nan, Durham County",Durham County,30,white,male,3f32c9743a,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,W,Verbal Warning
19179126,2015-03-23,16:29:00,"nan, Durham County",Durham County,46,hispanic,male,1a781099e9,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,H,W,Verbal Warning
19179127,2015-03-23,16:30:00,"nan, Durham County",Durham County,19,black,male,66d40ef643,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Other Motor Vehicle Violation,N,B,Verbal Warning
19179128,2015-03-23,15:53:00,"nan, Durham County",Durham County,28,hispanic,male,d55e562cf6,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,H,W,Citation Issued
19179129,2015-03-23,16:24:00,"nan, Durham County",Durham County,41,hispanic,female,d55e562cf6,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,H,W,Citation Issued
19179130,2015-03-23,15:53:00,"nan, Durham County",Durham County,28,hispanic,male,d55e562cf6,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,H,W,Citation Issued
19179131,2015-03-23,17:00:00,"nan, Durham County",Durham County,26,hispanic,male,3f32c9743a,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,H,B,Verbal Warning
19179132,2015-03-23,11:55:00,"nan, Durham County",Durham County,61,white,male,dc39dfde29,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Safe Movement Violation,N,W,Verbal Warning
19179133,2015-03-23,12:20:00,"nan, Durham County",Durham County,21,black,female,dc39dfde29,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,B,Citation Issued
19179376,2015-03-23,10:35:00,"nan, Durham County",Durham County,71,black,female,dc39dfde29,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,B,Verbal Warning
19179377,2015-03-23,11:13:00,"nan, Durham County",Durham County,45,white,male,dc39dfde29,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,W,Verbal Warning
19179378,2015-03-23,11:40:00,"nan, Durham County",Durham County,29,hispanic,female,dc39dfde29,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,H,W,Verbal Warning
19179379,2015-03-23,11:45:00,"nan, Durham County",Durham County,45,black,male,dc39dfde29,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,B,Citation Issued
19179380,2015-03-23,00:05:00,"nan, Durham County",Durham County,19,black,male,dc39dfde29,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,B,Citation Issued
19179381,2015-03-23,16:03:00,"nan, Durham County",Durham County,25,black,male,1dadfae83d,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Checkpoint,N,B,Citation Issued
19179382,2015-03-23,18:51:00,"nan, Durham County",Durham County,19,black,male,c0b31bf1de,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,B,Citation Issued
19179383,2015-03-23,20:26:00,"nan, Durham County",Durham County,25,black,male,6f9e0c6a10,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,B,Verbal Warning
19179384,2015-03-23,20:40:00,"nan, Durham County",Durham County,60,white,male,6f9e0c6a10,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Regulatory Violation,N,W,Verbal Warning
19179385,2015-03-23,22:55:00,"nan, Durham County",Durham County,31,black,female,a4d178e9f0,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Vehicle Equipment Violation,N,B,Verbal Warning
19179386,2015-03-23,23:12:00,"nan, Durham County",Durham County,36,black,male,c0b31bf1de,Durham Police Department,vehicular,FALSE,TRUE,FALSE,citation,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,B,Citation Issued
19179387,2015-03-23,23:25:00,"nan, Durham County",Durham County,22,asian/pacific islander,female,117ed703a3,Durham Police Department,vehicular,FALSE,FALSE,TRUE,warning,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,Speed Limit Violation,N,A,Verbal Warning
