row_number,year,unc_status,comp_major,primary_major,prereqs,prior_exp,AP_Principles,AP_A,other_comp,prior_time,languages,residency,on_campus,international,section,lesson_time,sync_perf,all_sync,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,kaki_effective,pace,difficulty,understanding,interested,valuable,grade,would_recommend
44,23,Returning UNC Student,No,Journalism,"MATH 129P, MATH 231, STOR 113, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,5,7,7,4,4,7,7,7,6,7,4,7,7,7,3,6,4,B,7
45,22,Returning UNC Student,No,Business,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
46,23,Incoming Transfer Student,No,Applied Mathematics,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
47,24,Returning UNC Student,No,Statistics,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,3,6,6,1,7,7,7,6,6,,,4,4,5,7,7,A,7
48,22,Returning UNC Student,No,Math,"MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",2-6 months,No,No,On-line course,2-6 months,"Python, Java / C#, R / Matlab / SAS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,1,1,4,6,0,6,6,7,2,5,,,5,5,6,7,7,A,6
49,24,Incoming First-year Student,No,Biology,"MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,3,3,5,6,1,7,4,7,2,7,,4,5,3,6,7,7,A,7
50,22,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,6,6,7,3,4,5,7,6,6,6,4,5,7,6,3,6,4,B,4
51,24,Incoming First-year Student,No,Business,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,7,7,7,4,4,5,6,4,3,7,7,3,6,6,2,3,3,C,3
52,21,Returning UNC Student,No,Psychology,"MATH 129P, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,1,1,1,7,1,3,5,3,5,6,7,,3,6,6,5,4,2,A,3
53,24,Incoming First-year Student,No,Biology,"MATH 129P, MATH 231",7-12 months,Yes,No,None,None to less than one month!,"Python, JavaScript / TypeScript, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,2,2,6,1,3,7,2,6,2,6,,,5,5,4,6,7,A,7
54,24,Returning UNC Student,No,Public Health,"MATH 129P, MATH 231, MATH 232, STOR 112",2-6 months,Yes,No,None,None to less than one month!,Python,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,3,3,7,5,3,7,7,6,6,7,,7,5,5,4,5,7,A,6
55,24,Incoming First-year Student,No,Biology,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,5,6,7,5,0,6,7,5,7,7,,,5,3,6,6,7,A,7
56,24,Incoming First-year Student,No,Psychology,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,7,3,3,7,4,6,7,7,,7,5,5,5,7,7,A,7
57,23,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,4,3,4,2,5,5,5,6,3,6,,,6,6,5,5,3,B,4
58,21,Returning UNC Student,No,Undecided,"MATH 130, MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,None,2-6 months,"Python, C / C++, R / Matlab / SAS, BASIC, HTML / CSS",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,1,1,7,6,0,7,6,7,7,,,,5,5,6,6,6,A,7
59,24,Incoming First-year Student,No,Environmental Science,"MATH 129P, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,2,5,2,0,6,3,6,4,,,6,6,6,4,5,6,B,5
60,23,Returning UNC Student,Yes - Minor,Economics,"MATH 231, MATH 232, MATH 233, STOR 151",2-6 months,Yes,No,UNC,None to less than one month!,Python,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
61,23,Returning UNC Student,No,Psychology,"MATH 129P, MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,4,2,5,3,4,5,6,5,5,7,5,5,7,7,3,4,4,B,4
62,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,2,1,7,5,0,7,5,7,5,,,,4,3,6,7,7,A,7
63,24,Returning UNC Student,Yes - BS,Nutrition,"MATH 129P, MATH 231, STOR 151, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
64,23,Incoming Transfer Student,No,Physics,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
65,24,Incoming First-year Student,No,Statistics,"MATH 129P, MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,4,6,3,2,4,3,5,5,5,,6,6,6,3,4,5,B,4
66,21,Returning UNC Student,No,Statistics,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,2,1,4,4,1,5,4,5,3,3,,5,6,6,4,7,6,B,4
67,24,Incoming First-year Student,Yes - BA,Computer Science,"MATH 231, MATH 232",2-6 months,No,No,UNC,1 month or so,"Python, JavaScript / TypeScript",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
68,24,Returning UNC Student,Yes - Minor,Statistics,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,6,3,7,3,1,5,6,7,7,7,,5,5,5,3,5,7,A,6
69,22,Returning UNC Student,No,Psychology,"MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,2,1,6,4,3,7,7,6,6,7,,7,5,5,5,6,5,B,6
70,22,Returning UNC Student,No,Environmental Science,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 151, STOR 155",2-6 months,No,No,UNC,None to less than one month!,"Python, R / Matlab / SAS, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,3,6,2,3,6,5,6,4,6,,5,6,6,4,5,3,B,4
71,24,Returning UNC Student,Yes - BS,Computer Science,"MATH 129P, MATH 231, MATH 232, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,2,7,2,0,7,7,6,4,,,5,5,4,6,7,7,A,7
72,23,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,7,3,3,7,6,6,6,7,,5,5,5,4,5,7,A,7
73,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 129P, MATH 231, MATH 232, STOR 151, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
74,24,Incoming First-year Student,No,Biology,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,3,5,6,5,2,3,4,5,7,7,7,,,6,5,2,5,5,D,5
75,23,Returning UNC Student,No,Psychology,"MATH 129P, MATH 231, PSYC 210, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,1,1,7,2,1,6,6,5,5,6,,,6,6,3,5,5,B,5
76,21,Returning UNC Student,No,Psychology,"MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,6,6,5,3,3,4,5,5,3,5,,,4,6,1,4,3,C,2
77,24,Incoming First-year Student,No,Biology,"MATH 129P, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,6,5,3,7,7,6,6,7,7,6,5,5,3,7,5,B,7
78,24,Incoming First-year Student,No,Neuroscience,"MATH 129P, MATH 231, MATH 232, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,1,5,3,6,3,1,5,6,7,6,5,,5,5,4,5,6,7,A,7
79,24,Incoming First-year Student,No,Biostatistics,"MATH 129P, MATH 231, MATH 232, MATH 233",2-6 months,Yes,No,None,None to less than one month!,Python,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,5,6,7,3,1,7,6,5,5,7,,6,4,5,6,5,4,A,7
80,23,Returning UNC Student,Yes - Minor,Information Science,"MATH 130, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,3,3,7,6,2,5,5,7,4,5,5,4,6,5,5,7,6,A,7
81,22,Returning UNC Student,No,Psychology,MATH 231,2-6 months,Yes,No,UNC,None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,2,2,7,4,5,4,6,4,5,5,,6,6,7,2,3,5,B,3
82,24,Incoming First-year Student,Yes - BA,Computer Science,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
83,24,Incoming First-year Student,Yes - Minor,Business,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,7,7,7,4,3,4,6,6,6,7,7,6,7,6,2,7,7,A,5
84,23,Returning UNC Student,No,Psychology,PSYC 210,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
85,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 129P, MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,2,7,5,1,6,6,7,3,6,,6,5,4,7,7,7,A,4
86,23,Returning UNC Student,No,Environmental Science,"MATH 129P, MATH 231, MATH 232, STOR 155",7-12 months,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,5,6,7,3,1,6,5,7,7,5,,,4,3,6,6,7,A,7
87,23,Returning UNC Student,No,Biology,"MATH 231, MATH 232, MATH 233, STOR 151, STOR 155",1-2 years,No,No,High school course (IB or other),None to less than one month!,R / Matlab / SAS,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,1,1,5,2,0,6,6,6,5,,,,4,4,5,4,5,A,6
88,24,part-time transfer student,Yes - BS,Computer Science,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233",Over 2 years,No,No,Another college or community college,> 2 years,"Python, Java / C#, BASIC, HTML / CSS, Other",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,3,7,6,1,6,6,7,6,6,,6,5,4,6,6,7,A,7
89,24,Returning UNC Student,Yes - BA,Computer Science,"MATH 130, MATH 231, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,3,4,7,7,0,7,7,7,6,,,,6,6,3,7,7,B,7
90,23,Returning UNC Student,No,Environmental Science,"MATH 129P, MATH 210, MATH 231, MATH 232, MATH 233, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,7,7,7,1,4,4,3,3,7,7,,7,7,7,4,4,6,B,6
91,23,Incoming Transfer Student,Yes - Minor,Business,"MATH 231, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,4,4,2,4,4,4,4,,,,4,4,4,4,4,B,4
92,23,Returning UNC Student,No,Neuroscience,"MATH 130, MATH 231, MATH 232, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,1,1,7,3,3,7,7,2,3,7,4,7,7,7,2,4,4,B,5
